#{"t_start": 1686631012.1106446, "env_id": null}
r,l,t
-0.3,7,8.155373
-0.4,6,15.157719
0.5,5,21.082906
0.5,5,27.163177
-0.4,6,34.065083
-0.8,3,38.052959
0.1,1,39.364082
-0.9,1,40.68167
0.1,1,42.055647
0.1,1,43.40344
0.1,1,44.804898
0.1,1,46.259341
-0.9,1,47.509784
0.1,1,48.862242
0.1,1,50.38609
-0.9,1,51.601443
0.1,1,52.945251
-0.9,1,54.310105
0.1,1,55.616776
0.1,1,56.993727
-0.9,1,58.377795
0.1,1,59.845922
-0.2,8,69.105088
0.5,5,75.537486
-0.9,1,76.872069
0.1,1,78.229333
0.1,1,79.578721
0.1,1,80.949847
0.1,1,82.270526
0.1,1,83.610307
-0.9,1,84.956614
0.1,1,86.299505
-0.9,1,87.666596
-0.9,1,88.990564
0.1,1,90.386141
0.1,1,91.75048
0.1,1,93.102816
0.1,1,94.489184
-0.9,1,95.83478
0.1,1,97.207874
0.1,1,98.572942
0.1,1,99.932705
0.1,1,101.425572
0.1,1,102.666205
0.1,1,103.997024
-0.9,1,105.383391
0.1,1,106.79084
-0.9,1,108.117605
0.1,1,109.484168
-0.9,1,110.83115
0.1,1,112.152077
0.1,1,113.508026
-0.9,1,114.887213
0.1,1,116.241707
-0.9,1,117.588384
0.1,1,118.961247
0.1,1,120.339935
0.1,1,121.682889
-0.9,1,123.00543
0.1,1,124.397418
0.1,1,125.726926
0.1,1,127.054263
0.1,1,128.432943
0.1,1,129.732038
0.1,1,131.249902
0.0,1,132.454163
-0.9,1,133.75561
0.1,1,135.139095
0.1,1,136.506491
0.1,1,137.851055
0.1,1,139.196159
0.1,1,140.604751
0.1,1,141.935803
0.1,1,143.296284
0.1,1,144.69893
-0.9,1,146.046135
-0.9,1,147.408281
0.1,1,148.772786
-0.9,1,150.13105
-0.9,1,151.458285
0.1,1,152.778088
-0.9,1,154.148582
0.1,1,155.53976
0.1,1,156.912228
0.1,1,158.292275
-0.9,1,159.611383
0.1,1,161.0733
0.1,1,162.35701
0.1,1,163.724102
0.1,1,165.151427
-1.0,1,166.516909
-0.9,1,167.862685
-0.9,1,169.220981
-0.9,1,170.616472
0.1,1,171.969189
0.1,1,173.312815
0.1,1,174.693907
-0.9,1,176.019212
-0.9,1,177.400509
-0.9,1,178.733652
-0.9,1,180.092803
-0.9,1,181.441982
0.1,1,182.745483
0.1,1,184.095039
0.1,1,185.516452
0.1,1,186.890596
0.1,1,188.208145
0.1,1,189.582096
0.1,1,190.930515
0.1,1,192.296329
0.1,1,193.66393
0.1,1,195.017973
0.1,1,196.403543
0.1,1,197.746957
0.1,1,199.081165
-0.9,1,200.444937
-0.9,1,201.770559
0.1,1,203.144087
0.1,1,204.514435
-0.9,1,205.858024
0.1,1,207.27027
0.1,1,208.620534
0.1,1,210.012201
0.1,1,211.396728
0.1,1,212.752174
0.1,1,214.104017
-0.9,1,215.513487
-0.9,1,216.846625
-1.0,1,218.163409
-1.0,1,219.559087
-0.9,1,220.867978
-1.0,1,222.247102
-0.9,1,223.583318
-1.0,1,224.937451
-0.9,1,226.297719
-1.0,1,227.613901
-1.0,1,228.969837
-1.0,1,230.366965
-0.9,1,231.668638
-0.9,1,232.99487
-1.0,1,234.383299
-0.9,1,235.731895
-1.0,1,237.121993
-0.9,1,238.431925
0.1,1,239.851821
-0.9,1,241.195567
0.1,1,242.542445
-0.9,1,243.881611
-0.9,1,245.234508
0.1,1,246.562997
-0.9,1,247.899889
-0.9,1,249.307939
0.1,1,250.678184
0.1,1,252.037043
0.1,1,253.419828
0.1,1,254.808739
0.1,1,256.183341
0.1,1,257.536714
0.1,1,258.872784
0.1,1,260.250307
0.1,1,261.586773
-0.9,1,262.962799
0.1,1,264.313162
-0.9,1,265.610046
0.1,1,267.013144
0.1,1,268.352088
0.1,1,269.717406
0.1,1,271.089911
-0.9,1,272.443058
0.1,1,273.794503
-0.9,1,275.173749
0.1,1,276.512485
-0.9,1,277.865696
0.1,1,279.241545
0.1,1,280.606137
0.1,1,281.983417
-0.9,1,283.289156
0.1,1,284.688365
-0.9,1,286.081639
0.1,1,287.466414
0.1,1,288.828674
0.1,1,290.222562
0.1,1,291.572264
0.1,1,292.937299
0.1,1,294.360803
0.1,1,295.717275
0.1,1,297.122389
-0.9,1,298.491345
-0.9,1,299.850654
0.1,1,301.240209
0.1,1,302.607249
-0.9,1,303.950916
0.1,1,305.373577
0.1,1,306.754379
-0.9,1,308.244122
0.1,1,309.5127
0.1,1,310.849564
-0.9,1,312.178794
0.1,1,313.545389
0.1,1,314.927732
0.1,1,316.300819
-0.9,1,317.620259
0.1,1,318.940058
0.1,1,320.317125
0.1,1,321.638834
0.1,1,323.121638
0.1,1,324.359161
0.1,1,325.704201
0.1,1,327.097207
0.1,1,328.464181
0.1,1,329.879122
0.1,1,331.235677
-0.9,1,332.555328
-0.9,1,333.871759
0.1,1,335.258572
0.1,1,336.60744
-0.9,1,338.022501
0.1,1,339.279474
0.1,1,340.625131
0.1,1,341.980979
0.1,1,343.335044
0.1,1,344.746781
-0.9,1,346.103901
-0.9,1,347.422661
-0.9,1,348.736362
0.1,1,350.105566
0.1,1,351.453026
-0.9,1,352.9433
-0.9,1,354.211306
-0.9,1,355.562428
-0.9,1,356.928177
-0.9,1,358.4231
-1.0,1,359.648526
-0.9,1,361.030557
-0.9,1,362.362529
-0.9,1,363.709375
0.1,1,365.077917
0.1,1,366.39113
0.1,1,367.843879
-0.9,1,369.101935
0.1,1,370.432685
0.1,1,371.810072
0.1,1,373.147274
0.1,1,374.52232
0.1,1,375.910282
0.1,1,377.239471
0.1,1,378.582427
0.1,1,380.022382
0.1,1,381.354804
0.1,1,382.897614
0.1,1,384.146978
0.1,1,385.484138
0.1,1,386.887058
-0.9,1,388.21955
-0.9,1,389.581195
0.1,1,390.969089
0.1,1,392.312895
0.1,1,393.66471
0.1,1,395.02602
-0.9,1,396.349796
0.1,1,397.710907
-0.1,10,409.753573
0.3,3,413.665398
0.1,1,415.021274
-0.9,1,416.417429
0.1,1,417.749337
0.1,1,419.125063
-0.9,1,420.490125
0.1,1,421.849279
-0.9,1,423.166564
0.1,1,424.496989
-0.9,1,425.829992
-0.9,1,427.186786
0.1,1,428.518006
-0.9,1,429.825824
0.1,1,431.190855
0.1,1,432.529434
0.1,1,433.904235
0.1,1,435.284092
0.1,1,436.663079
-0.9,1,437.993919
-0.9,1,439.368889
0.1,1,440.725366
0.1,1,442.070874
0.1,1,443.495268
0.1,1,444.830458
0.1,1,446.206439
0.1,1,447.513055
0.1,1,448.888702
0.1,1,450.272851
0.1,1,451.617212
0.1,1,452.9595
0.1,1,454.310101
0.1,1,455.609475
-0.9,1,456.950328
0.1,1,458.334419
0.1,1,459.653465
0.1,1,461.029055
0.1,1,462.364994
0.1,1,463.716608
0.1,1,465.110664
0.1,1,466.467336
0.1,1,467.840614
-0.9,1,469.195593
0.1,1,470.533105
0.1,1,471.878686
0.1,1,473.264341
0.1,1,474.582947
-0.9,1,475.932978
-0.9,1,477.244635
0.1,1,478.610084
0.2,2,481.278357
0.1,1,482.576469
0.1,1,483.977522
0.1,1,485.361436
0.1,1,486.686819
0.1,1,488.057258
0.1,1,489.351265
0.1,1,490.744494
-0.9,1,492.048465
0.1,1,493.418267
0.1,1,494.810162
-0.9,1,496.1662
0.1,1,497.523412
-0.9,1,498.844982
0.1,1,500.17716
0.1,1,501.68127
-0.6,5,507.183481
0.2,2,509.865791
-1.0,1,511.203892
-1.0,1,512.534981
-1.0,1,513.844012
0.1,1,515.186466
0.1,1,516.560473
0.1,1,517.943807
0.1,1,519.295072
0.1,1,520.675259
-0.9,1,521.979479
-0.9,1,523.447338
-0.7,4,528.561615
0.1,1,529.923495
0.1,1,531.281851
0.1,1,532.587482
-0.9,1,533.871174
0.1,1,535.23846
0.1,1,536.608042
0.1,1,538.069139
-0.9,1,539.303937
-0.9,1,540.639533
0.1,1,542.039641
0.1,1,543.388654
0.1,1,544.736018
0.1,1,546.113901
0.1,1,547.453505
-0.9,1,548.767884
-0.9,1,550.14807
0.1,1,551.516548
0.1,1,552.933757
0.1,1,554.263375
-0.9,1,555.566171
-0.9,1,556.913938
0.1,1,558.25538
0.1,1,559.617618
0.1,1,560.991592
0.1,1,562.352048
0.1,1,563.694127
0.1,1,565.091573
0.1,1,566.43147
0.1,1,567.807921
0.1,1,569.148994
0.1,1,570.639968
-0.9,1,571.888224
0.1,1,573.220652
-0.9,1,574.531676
0.1,1,575.8988
0.1,1,577.255481
-0.9,1,578.551738
0.1,1,579.990377
0.1,1,581.329089
0.1,1,582.767803
-0.9,1,584.058653
0.1,1,585.457979
0.1,1,586.785285
0.1,1,588.161028
-0.9,1,589.488245
-0.9,1,590.855494
0.1,1,592.187749
0.1,1,593.528744
-0.9,1,594.916034
0.1,1,596.285761
0.1,1,597.667333
0.1,1,599.024549
0.1,1,600.419074
0.1,1,601.797996
-0.9,1,603.107831
0.1,1,604.456633
0.1,1,605.831794
0.1,1,607.168074
0.1,1,608.678831
0.1,1,609.916747
-0.9,1,611.23669
0.1,1,612.638618
0.1,1,613.95159
0.1,1,615.326409
-0.9,1,616.655162
0.1,1,618.022782
0.1,1,619.363676
0.1,1,620.749489
0.1,1,622.073933
0.1,1,623.542081
0.1,1,624.780789
0.1,1,626.099441
0.1,1,627.464002
0.1,1,628.793197
0.1,1,630.158576
0.1,1,631.530297
0.1,1,632.885918
0.1,1,634.212552
0.1,1,635.607816
-0.9,1,636.923998
0.1,1,638.29232
0.0,1,639.669388
0.1,1,641.019562
0.1,1,642.359467
0.1,1,643.708449
-0.9,1,645.06465
0.1,1,646.380717
0.1,1,647.725087
0.1,1,649.088495
-0.9,1,650.42892
0.1,1,651.731617
-0.9,1,653.063767
0.1,1,654.452011
0.1,1,655.795031
0.1,1,657.156655
-0.9,1,658.473445
0.1,1,659.921166
-0.9,1,661.179944
0.1,1,662.535054
-0.9,1,663.866462
0.1,1,665.272625
-0.9,1,666.655695
0.1,1,667.991317
0.1,1,669.400935
-0.9,1,670.729624
0.1,1,672.054313
0.1,1,673.403277
0.1,1,674.854882
0.1,1,676.108159
0.1,1,677.464946
0.1,1,678.802716
0.1,1,680.183703
-0.9,1,681.520565
0.1,1,682.882682
0.1,1,684.256724
0.1,1,685.60733
